,test,a,b,mse-0-0,mse-0-1,mse-0-2,mse-0-3,mse-0-4,mse-0-5,mse-0-6,mse-0-7,mse-0-8,mse-0-9,mse-1-0,mse-1-1,mse-1-2,mse-1-3,mse-1-4,mse-1-5,mse-1-6,mse-1-7,mse-1-8,mse-1-9
0,1-0,11.96239935725851,12.024158116427916,8.66178775593355,3.0511209684036555,6.81578624878743,2.811814536975561,3.1541055700922076,5.859020833283873,,10.96030542729548,2.7544191017928807,5.74781137184635,18.401470881110683,18.871884697206102,18.84139068395397,7.495223508103039,37.241940520314344,40.46921849705228,,36.41218150148633,3.121061507492852,45.56507893568523
1,1-1,11.995904945855898,12.057725264796558,8.702325016499918,3.050859261266572,6.799310333548391,2.817583268390198,3.149976255016944,5.852285900731259,,10.990751832248728,2.7452061363890454,5.741147320531899,18.51317047001416,18.97403183836411,18.934223035514236,7.49349196061669,37.47110168803485,40.68532953943961,,36.60350990052553,3.1215002514567645,45.7979008966662
2,1-2,12.030640621206553,12.092459685811495,8.74452291443072,3.0507093389143827,6.7821259154443485,2.8236068174809326,3.145605848478049,5.845196218856352,,11.022065845456387,2.735699601910015,5.734155899693262,18.629062606478733,19.079695971310503,19.030261287520705,7.491906409857662,37.70802357529893,40.908929690874004,,36.80125700863932,3.121940678097087,46.03838209078857
3,1-3,12.030640621206553,12.092459685811495,8.74452291443072,3.0507093389143827,6.7821259154443485,2.8236068174809326,3.145605848478049,5.845196218856352,,11.022065845456387,2.735699601910015,5.734155899693262,18.629062606478733,19.079695971310503,19.030261287520705,7.491906409857662,37.70802357529893,40.908929690874004,,36.80125700863932,3.121940678097087,46.03838209078857
4,1-4,11.978177843073206,12.040170201838682,8.68182857478931,3.051479605911933,6.808939500512145,2.815051397985276,3.1527335994964067,5.856989547948891,,10.975906370443967,2.7504783693752892,5.745674568669231,18.455088916408755,18.921230576066307,18.886959405930778,7.495477814148574,37.35220163195068,40.57303003011571,,36.5047787951159,3.1220009509188515,45.67817414302883
5,1-5,8.542596489291345,8.379589244737062,8.062501576903259,4.958612982149589,8.66203047199556,3.4801891037144177,3.579320483331167,7.23428413742087,,7.91860591023903,4.6321607484839165,7.201175347511479,10.748070815566336,10.0909714193919,11.731569032959793,11.414454948925117,14.947441424934226,20.45479294884637,,18.238364214437475,4.175274706863664,22.518344679363985
6,1-6,8.564823283006115,8.404423873221965,8.02211074837896,4.923467562630708,8.645101912378912,3.4592226010791127,3.5736459789911263,7.212141368305514,,7.928563922383161,4.608235371237682,7.177950708792869,10.747294345148456,10.112852022484622,11.735336372683975,11.342687872210199,15.050605804282501,20.538416895068387,,18.312293907938457,4.15151783825675,22.62436157482954
7,1-7,8.516177336803448,8.35519501876524,8.119131000297406,5.005747573692113,8.707503969177461,3.5099015457852256,3.6010702525205236,7.286951817471037,,7.934758311977745,4.6685089228542145,7.25190167982042,10.752780088393562,10.072567560003566,11.754274953206222,11.515587321189399,14.85081444356914,20.37874114311486,,18.184916571183592,4.2139375408334026,22.45275443481641
8,1-8,8.52960186163668,8.370179832330276,8.094027184378866,4.984151956551239,8.69705678842457,3.496988789726171,3.597507242587829,7.273227634880943,,7.940442729774002,4.653835173095202,7.237522990436116,10.751522875510473,10.085170313637825,11.755716540215156,11.471438110098513,14.91227179250621,20.428343114302617,,18.228604156163133,4.1992912355258865,22.515656291238766
9,1-9,8.537119451708511,8.37578650028097,8.07599386181555,4.969507658584729,8.677573526329718,3.4873894173857303,3.587446140248317,7.251493168398879,,7.9286632281737885,4.641523068669241,7.217190308849571,10.749573325875126,10.08870475803747,11.74252646005015,11.438893153561846,14.933369961699873,20.444311164734604,,18.23525698827325,4.185687765453185,22.519029462236226
10,1-10,6.388860994246461,6.2670018556570355,17.374608565557953,11.336545907307197,12.990754994021948,7.544164293206521,5.815756504097677,13.138144006371634,,10.694075933812988,8.962967098120792,13.111849650111235,16.611393871427513,13.167365852059607,18.895685093515652,25.024397114688767,12.458090521380846,19.97637588984827,,20.04087601200556,9.254545245148773,23.40096475252628
11,1-11,6.4401580537230965,6.382918245318006,16.94347004976448,11.118124645263821,13.258854321726103,7.434504443432041,5.978228249681106,13.326768923106386,,10.937921374264338,8.908986866493843,13.228163329920097,16.097244670353124,12.792023756669266,18.704178234224955,24.614040562265064,12.291050398319067,19.74902570513838,,19.885295595039906,9.207768549244426,23.66234305852866
12,1-12,6.457089627116905,6.332842037807945,16.886122429719578,11.025620432381121,12.799980319305737,7.345636176313432,5.707094762435044,12.85437050094404,,10.509037512394718,8.760602693521747,12.82312029896296,16.204237154763362,12.861705215610456,18.411257186325923,24.356296545836525,12.276990062569658,19.727423453237204,,19.673163561825646,9.001223047612815,23.033873745961905
13,1-13,6.469923072943384,6.345036275314967,16.79628317574433,10.968184922230021,12.763408951275443,7.3089129749474875,5.6863353262639915,12.80080890107177,,10.474132814598395,8.722905019148415,12.768871999385707,16.13040464529939,12.806882308220246,18.322301397304916,24.232707800466805,12.245702812571738,19.6833321008209,,19.60689862589402,8.954162489729171,22.966709175940398
14,1-14,6.430052122785959,6.373013286859379,17.014415363555734,11.163535152718445,13.286563488894497,7.463517203143782,5.993986083980927,13.36801420226324,,10.964291968365576,8.9385465064338,13.270106194712794,16.155965880912454,12.835411078676616,18.773642189802345,24.711487258363448,12.314913293771756,19.783225678741804,,19.93647316626424,9.244790107267338,23.713063386657115
15,1-15,4.249340633647889,4.183674542353903,43.560958916986344,27.790896277594857,21.37293813675804,17.88052764562749,11.428884122523469,27.495601389288726,,22.783931395380808,19.288817332003656,28.293313711813187,42.46304375980104,38.13348598519043,51.6309161365532,60.686241266993974,35.665347688287426,44.27956385618754,,53.70584937153468,23.205871226671114,56.6264319245353
16,1-16,4.236898325969507,4.1692070887733275,43.81100070617459,27.94477992608108,21.421353085981917,17.976218156880133,11.469690156576805,27.60875560309292,,22.898082330128812,19.379192218717083,28.42135339147413,42.738267307874224,38.44092366253151,51.985453650389665,61.02023384647074,35.97653123525051,44.576300263415334,,54.118562860611824,23.334694258760425,57.0004154609114
17,1-17,4.272569220096051,4.205897235488359,43.13410976411495,27.517416015385056,21.245836508452097,17.709470764319533,11.331134250505768,27.25645868481412,,22.551392407654,19.118020504580553,28.034620956903982,42.00745939118168,37.6288719826769,51.00815384697516,60.086547657393744,35.157635227149,43.78695986853401,,53.00266649215313,22.962004716520152,55.94556108664025
18,1-18,4.246101599650026,4.179197331641862,43.63135456627279,27.832579493453448,21.379960876404397,17.906279712467814,11.436143222964892,27.52054824874778,,22.810281531144135,19.311775022897514,28.323307515383668,42.54255039426023,38.22263988543871,51.727714683764844,60.77576352290574,35.75598249341617,44.364882018096736,,53.82162688929203,23.238469446630624,56.724893698637985
