time_ms,distance_mm,beam_deg
8,352,45.0
67,358,45.0
126,353,45.0
185,359,45.0
244,345,-45.0
303,357,45.0
362,354,45.0
422,351,45.0
480,345,30.46
539,347,45.0
599,344,45.0
657,344,45.0
716,341,45.0
776,335,18.69
834,328,-3.67
894,321,-12.03
953,306,-45.0
1011,298,-45.0
1071,293,-17.56
1130,284,-45.0
1189,284,41.67
1248,280,-19.11
1307,277,-8.7
1366,274,-12.28
1425,272,-0.67
1484,275,45.0
1543,277,45.0
1602,277,33.37
1662,282,45.0
1721,277,-36.61
1779,266,-45.0
1839,268,45.0
1898,257,-45.0
1957,259,39.82
2016,253,-45.0
2075,248,-45.0
2134,245,-45.0
2193,236,-45.0
2252,234,-45.0
2312,233,-34.43
2370,234,-5.23
2430,240,45.0
2489,242,18.36
2547,250,18.36
2607,256,45.0
2666,257,22.41
2725,269,45.0
2784,255,-45.0
2843,247,-45.0
2902,249,-45.0
2961,237,-45.0
3020,240,29.99
3079,229,-45.0
3138,237,45.0
3198,236,-30.84
3256,237,-1.64
3315,246,45.0
3375,250,45.0
3433,258,45.0
3493,257,-5.59
3552,266,45.0
3610,261,-45.0
3670,263,43.63
3729,260,-29.97
3788,258,-18.36
3847,246,-45.0
3906,241,-45.0
3966,235,-45.0
4024,234,-33.19
4083,233,-34.39
4143,243,45.0
4201,249,45.0
4261,259,45.0
4320,268,45.0
4379,274,45.0
4438,275,44.04
4497,285,45.0
4556,288,45.0
4615,283,-30.31
4674,279,-21.09
4734,287,45.0
4792,274,-45.0
4851,270,-31.85
4911,273,45.0
4970,260,-45.0
5029,262,42.57
5088,258,-45.0
5147,269,45.0
5206,262,-45.0
5265,265,45.0
5324,274,45.0
5384,263,-45.0
5442,246,-45.0
5502,231,-45.0
5561,216,-45.0
5619,201,-45.0
5679,190,-45.0
5738,182,-45.0
5797,181,-45.0
5856,178,-45.0
5915,175,-45.0
5975,181,1.15
6033,182,-45.0
6092,185,-36.11
6152,188,-32.54
6210,195,31.83
6270,199,-5.4
6329,211,45.0
6387,222,45.0
6447,231,45.0
6506,242,45.0
6565,241,-25.05
6624,246,45.0
6683,256,45.0
6743,260,45.0
6801,267,45.0
6860,264,-25.43
6920,259,-45.0
6978,264,45.0
7038,258,-45.0
7097,257,-5.81
7155,247,-45.0
7215,248,-45.0
7274,251,-45.0
7333,248,-45.0
7392,259,45.0
7451,265,45.0
7510,270,45.0
7569,282,45.0
7628,291,45.0
7687,291,45.0
7746,301,45.0
7806,298,15.73
7865,295,12.15
7923,296,45.0
7983,283,-45.0
