time_ms,distance_mm,beam_deg
8,238,-45.0
66,67,-45.0
126,63,-45.0
185,67,-45.0
243,72,-45.0
303,73,-45.0
361,77,-45.0
421,83,-45.0
480,91,-45.0
538,99,-45.0
598,106,-45.0
656,116,-21.72
716,125,-24.99
775,139,45.0
833,154,45.0
893,170,45.0
952,182,45.0
1010,198,45.0
1070,208,45.0
1129,221,45.0
1189,228,45.0
1247,232,33.15
1306,235,22.75
1366,237,11.14
1424,236,-32.07
1484,234,-45.0
1543,237,25.12
1601,231,-45.0
1661,232,-8.9
1720,231,-38.11
1778,230,-39.32
1838,234,35.47
1897,233,-35.74
1957,237,39.06
2015,241,43.85
2074,243,18.25
2134,257,45.0
2192,250,45.0
2252,252,45.0
2310,254,45.0
2369,245,45.0
2429,242,-45.0
2487,237,-45.0
2546,240,29.98
2606,236,-45.0
2665,235,-32.03
2724,237,12.36
2783,233,-45.0
2842,234,-5.25
2901,237,26.34
2960,241,45.0
3020,243,19.53
3078,244,6.73
3137,248,6.73
3197,243,-45.0
3255,239,-45.0
3314,231,-45.0
3374,227,-45.0
3432,228,-12.44
3492,226,-45.0
3551,229,16.74
3609,235,45.0
3669,241,45.0
3728,243,19.52
3788,240,-45.0
3846,247,-45.0
3905,241,-45.0
3965,242,4.39
4023,241,-24.81
4082,242,4.38
4142,239,-45.0
4200,244,45.0
4260,238,-45.0
4319,242,45.0
4377,236,-45.0
4437,243,45.0
4496,245,45.0
4554,242,-45.0
4614,249,-45.0
4672,246,-45.0
4732,242,-45.0
4791,252,-45.0
4850,244,-45.0
4909,248,-45.0
4968,238,-45.0
5028,244,45.0
5086,245,45.0
5145,242,-45.0
5205,244,20.79
5263,247,20.79
5322,245,20.79
5381,248,20.79
5440,247,20.79
5500,247,20.79
5558,249,20.79
5617,245,20.79
5676,244,-45.0
5735,240,-45.0
5795,243,33.59
5854,244,6.79
5912,241,-45.0
5972,244,34.78
6031,244,-7.23
6089,246,-7.23
6149,240,-45.0
6207,245,-45.0
6267,245,-45.0
6326,246,-45.0
6384,248,-45.0
6444,242,-45.0
6503,240,-40.01
6562,245,-40.01
6621,244,-45.0
6679,253,-45.0
6739,245,-45.0
6798,248,-45.0
6856,248,-45.0
6916,254,-45.0
6975,246,-45.0
7034,258,45.0
7093,257,-5.59
7152,256,-6.79
7211,248,-6.79
7270,247,-6.79
7329,242,-45.0
7388,243,5.59
7447,239,-45.0
7506,240,1.98
7565,237,-45.0
7624,239,14.77
7683,237,-43.64
7742,239,14.76
7802,234,-45.0
7860,240,45.0
7919,244,45.0
7979,238,-45.0
8038,251,-45.0
8097,247,-45.0
8156,247,-45.0
8214,252,-45.0
8274,247,-45.0
8333,251,-45.0
8391,244,-45.0
8451,242,-37.61
8510,238,-45.0
8569,243,45.0
8628,246,45.0
8686,246,45.0
8746,246,45.0
8805,246,45.0
8863,248,45.0
8923,249,45.0
8981,247,45.0
9041,247,45.0
9100,248,45.0
9158,246,45.0
9218,249,45.0
9277,243,-45.0
9336,240,-45.0
9395,241,3.19
9454,239,-41.22
9513,239,-13.22
9572,240,1.97
9631,244,45.0
9690,248,45.0
9749,250,45.0
9808,248,45.0
9867,242,-45.0
9926,246,-45.0
9985,245,-45.0
10044,246,-45.0
10104,252,-45.0
10162,251,-45.0
10221,243,-45.0
10281,242,-23.61
10339,238,-45.0
10398,239,0.78
10458,243,45.0
10517,240,-45.0
10576,240,-12.03
10635,246,-12.03
10694,246,-12.03
10753,249,-12.03
10812,245,-12.03
10872,242,-45.0
10930,245,-45.0
10989,245,-45.0
11049,246,-45.0
11107,248,-45.0
11166,241,-45.0
11226,245,-45.0
11284,240,-45.0
11344,242,18.39
11403,238,-45.0
11461,239,0.78
11521,241,17.17
11580,239,-41.23
11640,245,-41.23
11698,243,-45.0
11757,244,6.79
11817,243,-22.41
11875,241,-38.81
11934,246,-38.81
11994,241,-45.0
12053,244,34.79
12112,249,34.79
12171,249,34.79
12230,250,34.79
12289,251,34.79
12348,251,34.79
12407,255,34.79
12466,254,34.79
12525,254,34.79
12584,251,34.79
12643,247,34.79
12702,250,34.79
12761,252,34.79
12820,249,34.79
12880,248,34.79
12938,251,34.79
12997,250,34.79
13057,245,34.79
13115,248,34.79
13175,253,34.79
13234,249,34.79
13292,246,34.79
13352,247,34.79
13411,247,34.79
13469,252,34.79
13529,249,34.79
13588,244,-45.0
13647,252,-45.0
13706,249,-45.0
13764,248,-45.0
13824,256,45.0
13883,255,45.0
13943,247,45.0
14001,241,-45.0
14060,244,34.79
14120,242,-37.61
14178,241,-24.82
14237,238,-45.0
14297,237,-29.63
14356,238,-0.43
14415,239,0.76
14474,243,45.0
14533,237,-45.0
14593,236,-30.86
14651,232,-45.0
14711,234,8.73
14770,230,-45.0
14829,232,6.31
14888,233,-6.5
14947,233,-20.51
15006,236,25.08
