time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
0,100,-45,100,-45,-1,0,-0.4
1.38586837600529e-06,100,-45,100.000000000016,-45,-1,0,-0.4
8.31521025603171e-06,100,-45,100.000000000594,-45,-1,0,-0.4
4.29619196561638e-05,100,-45,100.000000015848,-45,-1,0,-0.4
0.000216195466656824,100.000000000064,-45,100.000000401322,-45,-1,0,-0.4
0.00108236320166013,100.000000040062,-45,100.000010058793,-45,-1,0,-0.4
0.00478286599945754,100.000014862477,-45,100.000196415732,-45,-1,0,-0.4
0.01,100.000273230271,-45,100.000858617713,-45,-1,0,-0.4
0.02,100.004059131459,-45,100.006289641795,-45,-1,0,-0.4
0.03,100.01907569476,-45,100.023401275484,-45,-1,0,-0.4
0.04,100.055949646135,-45,100.061122676936,-45,-1,0,-0.4
0.05,100.126726597995,-45,100.129009625946,-45,-1,0,-0.4
0.06,100.243738857877,-45,100.236954243419,-45,-1,0,-0.4
0.07,100.418804054763,-45,100.395025328073,-45,-1,0,-0.4
0.08,100.662717529221,-45,100.613331425568,-45,-1,0,-0.4
0.09,100.984985850482,-45,100.901839243722,-45,-1,0,-0.4
0.1,101.393740610455,-45,101.269942865405,-45,-1,0,-0.4
0.11,101.895773681967,-45,101.725828240264,-45,-1,0,-0.4
0.12,102.49664455061,-45,102.276018651092,-45,-1,0,-0.4
0.13,103.200822794002,-45,102.925356263791,-45,-1,0,-0.4
0.14,104.011840866181,-45,103.677260445423,-45,-1,0,-0.4
0.15,104.932442207376,-45,104.534058715582,-45,-1,0,-0.4
0.16,105.964716814662,-45,105.497299238406,-45,-1,0,-0.4
0.17,107.110221032547,-45,106.56799787437,-45,-1,0,-0.4
0.18,108.370081030962,-45,107.746815650115,-45,-1,0,-0.4
0.19,109.745080840077,-45,109.034179810702,-45,-1,0,-0.4
0.2,111.235736410643,-45,110.430364355016,-45,-1,0,-0.4
0.21,112.842357325858,-45,111.935543028502,-45,-1,0,-0.4
0.22,114.56509773649,-45,113.549824071058,-45,-1,0,-0.4
0.23,116.403997956701,-45,115.273272991349,-45,-1,0,-0.4
0.24,118.359018009206,-45,117.105927506095,-45,-1,0,-0.4
0.25,120.430063539608,-41.7281152443391,119.047807348565,-45,-1,0,-0.4
0.26,122.616951413838,-34.9075336169295,121.098920712275,-41.8565447393381,-1,0,-0.4
0.27,124.919087487739,-27.9954695562331,123.259032506712,-35.3364957158185,-1,0,-0.4
0.28,127.335022143874,-21.0275916107362,125.526871662608,-28.7595621015431,-1,0,-0.4
0.29,129.862116259154,-14.0541191296576,127.899577754588,-22.1921785661961,-1,0,-0.4
0.3,132.496297236978,-7.13646365006363,130.37298137444,-15.6908738314847,-1,0,-0.4
0.31,135.231876396445,-0.344957224839703,132.941868683534,-9.30263895271364,-1,0,-0.4
0.32,138.061421580841,6.24322895665844,135.599867200963,-3.08019210188957,-1,0,-0.4
0.33,140.975694774674,12.5466225280099,138.339287039986,2.91608060093537,-1,0,-0.4
0.34,143.963672013798,18.4827615787502,141.151129451085,8.62482589503404,-1,0,-0.4
0.35,147.012661767478,23.97225191466,144.025282037912,13.9913855109732,-1,0,-0.4
0.36,150.108529660065,28.9432453635787,146.950780004773,18.970698679225,-1,0,-0.4
0.37,153.236024395462,33.3358138113164,149.916041297786,23.526493018324,-1,0,-0.4
0.38,156.379185290022,37.1056210724367,152.909061730576,27.6298790421456,-1,0,-0.4
0.39,159.521799354604,40.2263619378691,155.917585202769,31.2585240905103,-1,0,-0.4
0.4,162.647868347793,42.6906280753583,158.929253420278,34.3959821206089,-1,0,-0.4
0.41,165.742045392247,44.5091271704254,161.93173285452,37.030910224213,-1,0,-0.4
0.42,168.79000666929,45,164.912816953374,39.1561809075419,-1,0,-0.4
0.43,171.778741752029,45,167.86050327206,40.7679560195108,-1,0,-0.4
0.44,174.696768383321,45,170.763054508875,41.8651039814804,-1,0,-0.4
0.45,177.534247519657,45,173.609078509335,42.4500385277367,-1,0,-0.4
0.46,180.282961692899,45,176.38771100805,42.5330109566381,-1,0,-0.4
0.47,182.936204880814,44.0659323974255,179.089016331284,42.1412292606421,-1,0,-0.4
0.48,185.488660500597,42.5868852919221,181.704594716481,41.3277301243644,-1,0,-0.4
0.49,187.936295498385,40.841695409878,184.228105018115,40.1685170834642,-1,0,-0.4
0.5,190.276256150508,38.8746822354224,186.655412616286,38.7477165431275,-1,0,-0.4
0.51,192.506766358229,36.7271746670656,188.984339207759,37.1414028666972,-1,0,-0.4
0.52,194.627034638037,34.437765830391,191.214211163633,35.4090893985661,-1,0,-0.4
0.53,196.637173097957,32.0427114947248,193.345509817697,33.5974559802653,-1,0,-0.4
