time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
0,100,-45,100,-45,-2.2,-0.001,-0.7
1.38586837600529e-06,100,-45,100.000000000016,-45,-2.2,-0.001,-0.7
8.31521025603171e-06,100,-45,100.000000000594,-45,-2.2,-0.001,-0.7
4.29619196561638e-05,100,-45,100.000000015848,-45,-2.2,-0.001,-0.7
0.000216195466656824,100.000000000064,-45,100.000000401322,-45,-2.2,-0.001,-0.7
0.00108236320166013,100.000000040062,-45,100.000010058793,-45,-2.2,-0.001,-0.7
0.00478286599945754,100.000014862477,-45,100.000196415732,-45,-2.2,-0.001,-0.7
0.01,100.000273230271,-45,100.000858617713,-45,-2.2,-0.001,-0.7
0.02,100.004059131459,-45,100.006289641795,-45,-2.2,-0.001,-0.7
0.03,100.01907569476,-45,100.023401275484,-45,-2.2,-0.001,-0.7
0.04,100.055949646135,-45,100.061122676936,-45,-2.2,-0.001,-0.7
0.05,100.126726597995,-45,100.129009625946,-45,-2.2,-0.001,-0.7
0.06,100.243738857877,-45,100.236954243419,-45,-2.2,-0.001,-0.7
0.07,100.418804054763,-45,100.395025328073,-45,-2.2,-0.001,-0.7
0.08,100.662717529221,-45,100.613331425568,-45,-2.2,-0.001,-0.7
0.09,100.984985850482,-45,100.901839243722,-45,-2.2,-0.001,-0.7
0.1,101.393740610455,-45,101.269942865405,-45,-2.2,-0.001,-0.7
0.11,101.895773681967,-45,101.725828240264,-45,-2.2,-0.001,-0.7
0.12,102.49664455061,-45,102.276018651092,-45,-2.2,-0.001,-0.7
0.13,103.200822794002,-45,102.925356263791,-45,-2.2,-0.001,-0.7
0.14,104.011840866181,-45,103.677260445423,-45,-2.2,-0.001,-0.7
0.15,104.932442207376,-45,104.534058715582,-45,-2.2,-0.001,-0.7
0.16,105.964716814662,-45,105.497299238406,-45,-2.2,-0.001,-0.7
0.17,107.110221032547,-45,106.56799787437,-45,-2.2,-0.001,-0.7
0.18,108.370081030962,-45,107.746815650115,-45,-2.2,-0.001,-0.7
0.19,109.745080840077,-45,109.034179810702,-45,-2.2,-0.001,-0.7
0.2,111.235736410643,-45,110.430364355016,-45,-2.2,-0.001,-0.7
0.21,112.842357325858,-45,111.935543028502,-45,-2.2,-0.001,-0.7
0.22,114.56509773649,-45,113.549824071058,-45,-2.2,-0.001,-0.7
0.23,116.403997956701,-45,115.273272991349,-45,-2.2,-0.001,-0.7
0.24,118.359018009206,-45,117.105927506095,-45,-2.2,-0.001,-0.7
0.25,120.430064271391,-45,119.047807348565,-45,-2.2,-0.001,-0.7
0.26,122.617010254586,-45,121.098920712275,-45,-2.2,-0.001,-0.7
0.27,124.919712444054,-45,123.2592684838,-45,-2.2,-0.001,-0.7
0.28,127.338022032317,-45,125.528847020636,-45,-2.2,-0.001,-0.7
0.29,129.871793289124,-45,127.907649970229,-45,-2.2,-0.001,-0.7
0.3,132.520889225185,-45,130.395669456563,-45,-2.2,-0.001,-0.7
0.31,135.285185123076,-45,132.992896849333,-45,-2.2,-0.001,-0.7
0.32,138.16455807943,-33.5248966393417,135.699323257633,-45,-2.2,-0.001,-0.7
0.33,141.158621162465,-18.9107024682706,138.514939841935,-37.2183127846703,-2.2,-0.001,-0.7
0.34,144.26585269982,-4.1540242544925,141.439203536578,-23.180685252012,-2.2,-0.001,-0.7
0.35,147.48264217681,10.590977022663,144.470246378032,-9.03887126462465,-2.2,-0.001,-0.7
0.36,150.802500889822,25.1085540562964,147.605011809479,5.11720427534675,-2.2,-0.001,-0.7
0.37,154.215380130082,39.1274003092923,150.839341399083,19.2012625843022,-2.2,-0.001,-0.7
0.38,157.707115104464,45,154.165492639232,32.9453858028752,-2.2,-0.001,-0.7
0.39,161.259274885736,45,157.570927447706,45,-2.2,-0.001,-0.7
0.4,164.850214790146,45,161.040787931976,45,-2.2,-0.001,-0.7
0.41,168.456903748836,45,164.55992274401,45,-2.2,-0.001,-0.7
0.42,172.056627190524,45,168.115112394751,45,-2.2,-0.001,-0.7
0.43,175.628283941637,45,171.694658527057,45,-2.2,-0.001,-0.7
0.44,179.153189734461,45,175.286351800645,45,-2.2,-0.001,-0.7
0.45,182.61542546629,45,178.87815623563,45,-2.2,-0.001,-0.7
0.46,186.001841020609,45,182.458242456155,45,-2.2,-0.001,-0.7
0.47,189.301842125221,45,186.014648960853,45,-2.2,-0.001,-0.7
0.48,192.507069124072,45,189.53574755432,45,-2.2,-0.001,-0.7
0.49,195.611044642834,45,193.010287789209,45,-2.2,-0.001,-0.7
0.5,198.608836267673,45,196.427228271761,45,-2.2,-0.001,-0.7
0.51,201.496756809224,45,199.775780287751,45,-2.2,-0.001,-0.7
0.52,204.272109465566,45,203.045646299552,45,-2.2,-0.001,-0.7
0.53,206.932976725242,45,206.227747479574,45,-2.2,-0.001,-0.7
0.54,209.478048020871,45,209.314968697779,45,-2.2,-0.001,-0.7
0.55,211.906480062989,45,212.302175101016,45,-2.2,-0.001,-0.7
0.56,214.217784091715,45,215.185778796658,45,-2.2,-0.001,-0.7
0.57,216.411735133543,45,217.963342304937,45,-2.2,-0.001,-0.7
0.58,218.488299283826,45,220.633229729244,45,-2.2,-0.001,-0.7
0.59,220.44757584761,45,223.194337662973,45,-2.2,-0.001,-0.7
0.6,222.289751803717,45,225.645915523418,45,-2.2,-0.001,-0.7
0.61,224.015066521554,45,227.98744661697,45,-2.2,-0.001,-0.7
0.62,225.623784996119,45,230.218570581788,45,-2.2,-0.001,-0.7
0.63,227.11617811529,45,232.339032588507,45,-2.2,-0.001,-0.7
0.64,228.49250866858,45,234.348649758113,45,-2.2,-0.001,-0.7
0.65,229.753021970991,45,236.247288744881,45,-2.2,-0.001,-0.7
0.66,230.897940123206,45,238.034850633064,45,-2.2,-0.001,-0.7
0.67,231.927460995961,43.2454812494574,239.711260678665,45,-2.2,-0.001,-0.7
0.68,232.841800904782,37.1942355157041,241.276461291764,45,-2.2,-0.001,-0.7
