time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd
0,100,-45,100,-45,-1.7,0,-0.7
1.38586837600529e-06,100,-45,100.000000000016,-45,-1.7,0,-0.7
8.31521025603171e-06,100,-45,100.000000000594,-45,-1.7,0,-0.7
4.29619196561638e-05,100,-45,100.000000015848,-45,-1.7,0,-0.7
0.000216195466656824,100.000000000064,-45,100.000000401322,-45,-1.7,0,-0.7
0.00108236320166013,100.000000040062,-45,100.000010058793,-45,-1.7,0,-0.7
0.00478286599945754,100.000014862477,-45,100.000196415732,-45,-1.7,0,-0.7
0.01,100.000273230271,-45,100.000858617713,-45,-1.7,0,-0.7
0.02,100.004059131459,-45,100.006289641795,-45,-1.7,0,-0.7
0.03,100.01907569476,-45,100.023401275484,-45,-1.7,0,-0.7
0.04,100.055949646135,-45,100.061122676936,-45,-1.7,0,-0.7
0.05,100.126726597995,-45,100.129009625946,-45,-1.7,0,-0.7
0.06,100.243738857877,-45,100.236954243419,-45,-1.7,0,-0.7
0.07,100.418804054763,-45,100.395025328073,-45,-1.7,0,-0.7
0.08,100.662717529221,-45,100.613331425568,-45,-1.7,0,-0.7
0.09,100.984985850482,-45,100.901839243722,-45,-1.7,0,-0.7
0.1,101.393740610455,-45,101.269942865405,-45,-1.7,0,-0.7
0.11,101.895773681967,-45,101.725828240264,-45,-1.7,0,-0.7
0.12,102.49664455061,-45,102.276018651092,-45,-1.7,0,-0.7
0.13,103.200822794002,-45,102.925356263791,-45,-1.7,0,-0.7
0.14,104.011840866181,-45,103.677260445423,-45,-1.7,0,-0.7
0.15,104.932442207376,-45,104.534058715582,-45,-1.7,0,-0.7
0.16,105.964716814662,-45,105.497299238406,-45,-1.7,0,-0.7
0.17,107.110221032547,-45,106.56799787437,-45,-1.7,0,-0.7
0.18,108.370081030962,-45,107.746815650115,-45,-1.7,0,-0.7
0.19,109.745080840077,-45,109.034179810702,-45,-1.7,0,-0.7
0.2,111.235736410643,-45,110.430364355016,-45,-1.7,0,-0.7
0.21,112.842357325858,-45,111.935543028502,-45,-1.7,0,-0.7
0.22,114.56509773649,-45,113.549824071058,-45,-1.7,0,-0.7
0.23,116.403997956701,-45,115.273272991349,-45,-1.7,0,-0.7
0.24,118.359018009206,-45,117.105927506095,-45,-1.7,0,-0.7
0.25,120.430064271391,-45,119.047807348565,-45,-1.7,0,-0.7
0.26,122.617010254586,-45,121.098920712275,-45,-1.7,0,-0.7
0.27,124.919712444054,-42.9473355823353,123.2592684838,-45,-1.7,0,-0.7
0.28,127.337992723506,-30.7457928084275,125.528847020636,-44.230462486414,-1.7,0,-0.7
0.29,129.871222713801,-18.3928220658724,127.907593246608,-32.5448556627165,-1.7,0,-0.7
0.3,132.517479860836,-5.98228394414184,130.39467211304,-20.733536757612,-1.7,0,-0.7
0.31,135.272825280056,6.33798232146793,132.987671674939,-8.91098881965095,-1.7,0,-0.7
0.32,138.130725811236,18.3752710616988,135.682851636882,2.82344511869846,-1.7,0,-0.7
0.33,141.081570123076,29.8977710380915,138.474931033037,14.3529404870276,-1.7,0,-0.7
0.34,144.112308025722,40.6425768288906,141.355518800371,25.4455256740127,-1.7,0,-0.7
0.35,147.206305106578,45,144.312893747027,35.8481656358248,-1.7,0,-0.7
0.36,150.343642780372,45,147.333302378713,45,-1.7,0,-0.7
0.37,153.502372487207,45,150.400979258258,45,-1.7,0,-0.7
0.38,156.660221286474,45,153.50033238743,45,-1.7,0,-0.7
0.39,159.796014673558,45,156.618686559926,45,-1.7,0,-0.7
0.4,162.890639053567,45,159.743902178635,45,-1.7,0,-0.7
0.41,165.927543747851,45,162.863256217491,45,-1.7,0,-0.7
0.42,168.892868091571,45,165.964815026807,45,-1.7,0,-0.7
0.43,171.775312950861,45,169.036859347861,45,-1.7,0,-0.7
0.44,174.565869064821,45,172.067748755658,45,-1.7,0,-0.7
0.45,177.25748785631,45,175.046334401459,45,-1.7,0,-0.7
0.46,179.844750034083,45,177.961722388282,45,-1.7,0,-0.7
0.47,182.323562049121,45,180.803305220261,45,-1.7,0,-0.7
0.48,184.690892905735,45,183.561301367963,45,-1.7,0,-0.7
0.49,186.944553314442,45,186.227593451389,45,-1.7,0,-0.7
0.5,189.083013854824,45,188.796130946883,45,-1.7,0,-0.7
0.51,191.105256790161,45,191.262633392315,45,-1.7,0,-0.7
0.52,193.010655956171,44.9960567461301,193.624153356093,45,-1.7,0,-0.7
0.53,194.798890599856,39.834539077737,195.878707231933,45,-1.7,0,-0.7
0.54,196.470051699888,34.4803648920237,198.024961462062,45,-1.7,0,-0.7
0.55,198.024928092326,28.9837252276046,200.062012985819,45,-1.7,0,-0.7
0.56,199.465244358147,23.4130540163819,201.989243899289,45,-1.7,0,-0.7
0.57,200.793832477292,17.8506835514917,203.806225995284,45,-1.7,0,-0.7
0.58,202.014757480996,12.3898379770221,205.512658520014,45,-1.7,0,-0.7
0.59,203.133403202636,7.13198595929236,207.108327197169,45,-1.7,0,-0.7
0.6,204.156513015841,2.18375905121698,208.593077008796,42.0407177288437,-1.7,0,-0.7
0.61,205.09217398925,-2.34703607961521,209.966963767473,36.6159115121103,-1.7,0,-0.7
0.62,205.949731802633,-6.35640899869078,211.230930959427,31.0702860677842,-1.7,0,-0.7
0.63,206.73962776026,-9.7499157736953,212.387550924906,25.5222341558898,-1.7,0,-0.7
0.64,207.473157178659,-12.4485735083294,213.441249355345,20.1090140348063,-1.7,0,-0.7
0.65,208.162158468615,-14.3942403064181,214.398261546573,14.9678980151148,-1.7,0,-0.7
0.66,208.818652052081,-15.553740668871,215.266393435413,10.2221010589931,-1.7,0,-0.7
0.67,209.454455514159,-15.9211832804471,216.054566902244,5.96490641200722,-1.7,0,-0.7
0.68,210.080804331575,-15.5182154172049,216.772362682801,2.25872119974105,-1.7,0,-0.7
0.69,210.708005499496,-14.3923088963975,217.429726918022,-0.853967773858777,-1.7,0,-0.7
0.7,211.345145088659,-12.6134821078971,218.036844521654,-3.33913205893428,-1.7,0,-0.7
0.71,211.999861997474,-10.2700509872479,218.604073316816,-5.16705970009757,-1.7,0,-0.7
0.72,212.678191204529,-7.46403045840738,219.141825433367,-6.3162486047027,-1.7,0,-0.7
0.73,213.384472714067,-4.3066907184601,219.660304085492,-6.78397740588311,-1.7,0,-0.7
