time_s,ball_grey,servo_grey,ball_black,servo_black,Kp,Ki,Kd,r_0
0,380,45,380,45,-1.2,-0.01,-0.7,380
4.46557587823925e-06,380,45,379.999999999888,45,-1.2,-0.01,-0.7,380
2.67934552694355e-05,380,45,379.999999995959,45,-1.2,-0.01,-0.7,380
0.000138432852225417,379.999999999989,45,379.999999892135,45,-1.2,-0.01,-0.7,380
0.000696629837005323,379.999999993106,45,379.999997268461,45,-1.2,-0.01,-0.7,380
0.00348761476090486,379.999995757521,45,379.99993153631,45,-1.2,-0.01,-0.7,380
0.00855535014100542,379.999852043046,45,379.999588017406,45,-1.2,-0.01,-0.7,380
0.01,379.999726770571,45,379.999437136235,45,-1.2,-0.01,-0.7,380
0.0172232492949729,379.997721153505,45,379.997053636045,45,-1.2,-0.01,-0.7,380
0.02,379.995941002941,45,379.995301635465,45,-1.2,-0.01,-0.7,380
0.03,379.980924429253,45,379.981311393134,45,-1.2,-0.01,-0.7,380
0.04,379.944050467738,45,379.948403494106,45,-1.2,-0.01,-0.7,380
0.05,379.873273506707,45,379.886097652995,45,-1.2,-0.01,-0.7,380
0.059,379.770386651017,45,379.796070524992,45,-1.2,-0.01,-0.7,380
0.06,379.756261272938,45,379.783800949946,45,-1.2,-0.01,-0.7,380
0.065,379.676688138982,45,379.714293847371,45,-1.2,-0.01,-0.7,380
0.07,379.581196118756,45,379.630734850933,45,-1.2,-0.01,-0.7,380
0.08,379.337282628551,45,379.416110843667,45,-1.2,-0.01,-0.7,380
0.09,379.015014295699,45,379.129358537568,45,-1.2,-0.01,-0.7,380
0.1,378.606259527935,45,378.760536776946,45,-1.2,-0.01,-0.7,380
0.11,378.104226451991,45,378.301211214015,45,-1.2,-0.01,-0.7,380
0.118,377.631665788325,45,377.864207650021,45,-1.2,-0.01,-0.7,380
0.12,377.503355588633,45,377.745001667531,45,-1.2,-0.01,-0.7,380
0.13,376.799177343634,45,377.087367881336,45,-1.2,-0.01,-0.7,380
0.14,375.988159272528,45,376.325167378939,45,-1.2,-0.01,-0.7,380
0.15,375.06755793459,45,375.456280380109,45,-1.2,-0.01,-0.7,380
0.16,374.035283332312,45,374.479282803136,45,-1.2,-0.01,-0.7,380
0.17,372.889779120818,45,373.393211508736,45,-1.2,-0.01,-0.7,380
0.177,372.019936922875,45,372.567699521386,45,-1.2,-0.01,-0.7,380
0.18,371.629919127961,45,372.197408736994,45,-1.2,-0.01,-0.7,380
0.19,370.254919327044,45,370.891419607172,45,-1.2,-0.01,-0.7,380
0.2,368.76426376544,45,369.474925332064,45,-1.2,-0.01,-0.7,380
0.21,367.157642859726,45,367.947699315644,45,-1.2,-0.01,-0.7,380
0.22,365.434902458958,45,366.309578036337,45,-1.2,-0.01,-0.7,380
0.23,363.596002248834,45,364.560441543135,45,-1.2,-0.01,-0.7,380
0.236,362.436919545022,15.5162460803387,363.457633977623,22.3528718794044,-1.2,-0.01,-0.7,380
0.24,361.64098543883,15.5162460803387,362.700200276321,22.3528718794044,-1.2,-0.01,-0.7,380
0.25,359.570389167931,15.5162460803387,360.729236520927,22.3528718794044,-1.2,-0.01,-0.7,380
0.26,357.386659446732,15.5162460803387,358.650036629118,22.3528718794044,-1.2,-0.01,-0.7,380
0.27,355.094182331955,15.5162460803387,356.467975467806,22.3528718794044,-1.2,-0.01,-0.7,380
0.28,352.69867220772,15.5162460803387,354.190303581726,22.3528718794044,-1.2,-0.01,-0.7,380
0.29,350.206651714143,15.5162460803387,351.825160000493,22.3528718794044,-1.2,-0.01,-0.7,380
0.295,348.926598559867,-45,350.612325225232,-37.3139534675339,-1.2,-0.01,-0.7,380
0.3,347.625027633621,-45,349.380601428666,-37.3139534675339,-1.2,-0.01,-0.7,380
0.31,344.962172964869,-45,346.867083094261,-37.3139534675339,-1.2,-0.01,-0.7,380
0.32,342.231469250664,-45,344.298295702289,-37.3139534675339,-1.2,-0.01,-0.7,380
0.33,339.451018063337,-45,341.685497503994,-37.3139534675339,-1.2,-0.01,-0.7,380
0.34,336.641760668148,-45,339.038251700556,-37.3139534675339,-1.2,-0.01,-0.7,380
0.35,333.825659527116,-45,336.367696758315,-37.3139534675339,-1.2,-0.01,-0.7,380
0.354,332.702149189441,-45,335.295407121173,-45,-1.2,-0.01,-0.7,380
0.36,331.024140823014,-45,333.684896443118,-45,-1.2,-0.01,-0.7,380
0.37,328.256955031705,-45,330.996285701402,-45,-1.2,-0.01,-0.7,380
0.38,325.54150004662,-45,328.305633165299,-45,-1.2,-0.01,-0.7,380
0.39,322.892553572928,-45,325.619794309527,-45,-1.2,-0.01,-0.7,380
0.4,320.322304844271,-45,322.947734496608,-45,-1.2,-0.01,-0.7,380
0.41,317.840570690099,-45,320.299127042319,-45,-1.2,-0.01,-0.7,380
0.413,317.114517702757,-45,319.51052803942,-45,-1.2,-0.01,-0.7,380
0.42,315.455100333844,-45,317.683916245052,-45,-1.2,-0.01,-0.7,380
0.43,313.171902761861,-45,315.112219357689,-45,-1.2,-0.01,-0.7,380
0.44,310.995557474541,-45,312.594195110945,-45,-1.2,-0.01,-0.7,380
0.45,308.929490018882,-45,310.13995855252,-45,-1.2,-0.01,-0.7,380
0.46,306.976206372496,-45,307.759347615439,-45,-1.2,-0.01,-0.7,380
0.47,305.137487598449,-45,305.461403174138,-45,-1.2,-0.01,-0.7,380
0.472,304.783607004286,-45,305.012378326123,-45,-1.2,-0.01,-0.7,380
0.48,303.414549309884,-45,303.25375210066,-45,-1.2,-0.01,-0.7,380
0.49,301.808171340255,-45,301.142304082322,-45,-1.2,-0.01,-0.7,380
0.5,300.318802785095,-45,299.131361101597,-45,-1.2,-0.01,-0.7,380
0.51,298.946646724721,-45,297.223917246819,-45,-1.2,-0.01,-0.7,380
0.52,297.69172824242,-45,295.421990958941,-45,-1.2,-0.01,-0.7,380
0.53,296.553948584659,-45,293.726917293205,-45,-1.2,-0.01,-0.7,380
0.531,296.446606837437,-45,293.563319350063,-45,-1.2,-0.01,-0.7,380
0.536,295.927434892148,-45,292.761540115912,-45,-1.2,-0.01,-0.7,380
0.54,295.533127788492,-45,292.139569306459,-45,-1.2,-0.01,-0.7,380
0.55,294.629037675885,-45,290.660513742251,-45,-1.2,-0.01,-0.7,380
0.56,293.841426873815,-45,289.290115980201,-45,-1.2,-0.01,-0.7,380
0.57,293.170039201032,-45,288.028609534215,-45,-1.2,-0.01,-0.7,380
0.58,292.614626680222,-45,286.876141686091,-45,-1.2,-0.01,-0.7,380
0.59,292.174958221011,-5.52674583079553,285.832803402648,-45,-1.2,-0.01,-0.7,380
0.6,291.850661460436,-5.52674583079553,284.898648945549,-45,-1.2,-0.01,-0.7,380
0.61,291.639589468059,-5.52674583079553,284.073708740445,-45,-1.2,-0.01,-0.7,380
0.62,291.536750950445,-5.52674583079553,283.357997827943,-45,-1.2,-0.01,-0.7,380
0.63,291.534996870385,-5.52674583079553,282.751521416082,-45,-1.2,-0.01,-0.7,380
0.64,291.62573912913,-5.52674583079553,282.254278526767,-45,-1.2,-0.01,-0.7,380
0.649,291.778743241537,39.9994505355475,281.90015064701,-13.8128889394755,-1.2,-0.01,-0.7,380
0.65,291.799594403294,39.9994505355475,281.866264387397,-13.8128889394755,-1.2,-0.01,-0.7,380
0.655,291.914648479518,39.9994505355475,281.713079362825,-13.8128889394755,-1.2,-0.01,-0.7,380
0.66,292.046589422236,39.9994505355475,281.586925602651,-13.8128889394755,-1.2,-0.01,-0.7,380
0.67,292.353873092334,39.9994505355475,281.41322031937,-13.8128889394755,-1.2,-0.01,-0.7,380
0.68,292.704759703476,39.9994505355475,281.338708247713,-13.8128889394755,-1.2,-0.01,-0.7,380
0.69,293.080292058292,39.9994505355475,281.355317078764,-13.8128889394755,-1.2,-0.01,-0.7,380
0.7,293.460816146833,39.9994505355475,281.454372404082,-13.8128889394755,-1.2,-0.01,-0.7,380
0.708,293.755975967007,45,281.58676859501,28.7674235606688,-1.2,-0.01,-0.7,380
0.71,293.82727232423,45,281.626740663449,28.7674235606688,-1.2,-0.01,-0.7,380
0.72,294.162054688026,45,281.872633605953,28.7674235606688,-1.2,-0.01,-0.7,380
0.73,294.449230025668,45,282.186934001853,28.7674235606688,-1.2,-0.01,-0.7,380
0.74,294.674720031779,45,282.554851915222,28.7674235606688,-1.2,-0.01,-0.7,380
0.75,294.826486927314,45,282.969740839038,28.7674235606688,-1.2,-0.01,-0.7,380
0.76,294.894514521219,45,283.422106097088,28.7674235606688,-1.2,-0.01,-0.7,380
0.767,294.887876705937,45,283.753849258833,45,-1.2,-0.01,-0.7,380
0.77,294.870654104344,45,283.898887146858,45,-1.2,-0.01,-0.7,380
0.78,294.748402491369,45,284.38855054303,45,-1.2,-0.01,-0.7,380
0.79,294.522659452742,45,284.875368975993,45,-1.2,-0.01,-0.7,380
0.8,294.189492849043,45,285.345056336822,45,-1.2,-0.01,-0.7,380
0.81,293.745926356333,45,285.787052537366,45,-1.2,-0.01,-0.7,380
0.82,293.189755192757,45,286.189018829585,45,-1.2,-0.01,-0.7,380
0.826,292.801319574279,21.239734576114,286.405938136826,45,-1.2,-0.01,-0.7,380
0.83,292.519392716463,21.239734576114,286.539117155877,45,-1.2,-0.01,-0.7,380
0.84,291.734093156069,21.239734576114,286.826599271552,45,-1.2,-0.01,-0.7,380
0.85,290.834985889585,21.239734576114,287.040784406173,45,-1.2,-0.01,-0.7,380
0.86,289.824987562968,21.239734576114,287.171821217226,45,-1.2,-0.01,-0.7,380
0.87,288.708233251948,21.239734576114,287.211505031867,45,-1.2,-0.01,-0.7,380
0.88,287.489617958817,21.239734576114,287.15368270737,45,-1.2,-0.01,-0.7,380
0.885,286.843755737654,-31.8142374437972,287.086796660487,45,-1.2,-0.01,-0.7,380
0.89,286.174436664577,-31.8142374437972,286.993996909084,45,-1.2,-0.01,-0.7,380
0.9,284.76929465029,-31.8142374437972,286.729445524619,45,-1.2,-0.01,-0.7,380
0.91,283.285083463052,-31.8142374437972,286.358006106006,45,-1.2,-0.01,-0.7,380
0.92,281.736772919155,-31.8142374437972,285.878319502895,45,-1.2,-0.01,-0.7,380
0.93,280.141914386755,-31.8142374437972,285.289465744064,45,-1.2,-0.01,-0.7,380
0.94,278.51920066315,-31.8142374437972,284.590815726085,45,-1.2,-0.01,-0.7,380
0.944,277.866504340177,-45,284.280512265476,2.49322018385185,-1.2,-0.01,-0.7,380
0.95,276.887215781972,-45,283.781933770631,2.49322018385185,-1.2,-0.01,-0.7,380
0.96,275.263911724548,-45,282.862981741595,2.49322018385185,-1.2,-0.01,-0.7,380
0.97,273.666791647543,-45,281.836217988744,2.49322018385185,-1.2,-0.01,-0.7,380
0.98,272.112267456221,-45,280.706741581584,2.49322018385185,-1.2,-0.01,-0.7,380
0.99,270.615042877032,-45,279.481378828041,2.49322018385185,-1.2,-0.01,-0.7,380
1,269.187822337658,-45,278.167721910887,2.49322018385185,-1.2,-0.01,-0.7,380
1.003,268.774952782923,-45,277.757562097635,-45,-1.2,-0.01,-0.7,380
1.01,267.841267015212,-45,276.773994526971,-45,-1.2,-0.01,-0.7,380
1.02,266.584112256829,-45,275.305490749784,-45,-1.2,-0.01,-0.7,380
1.03,265.423372574689,-45,273.76325875011,-45,-1.2,-0.01,-0.7,380
1.04,264.364581007629,-45,272.14648429036,-45,-1.2,-0.01,-0.7,380
1.05,263.412028243517,-45,270.459805528524,-45,-1.2,-0.01,-0.7,380
1.06,262.568982959154,-45,268.711592173264,-45,-1.2,-0.01,-0.7,380
1.062,262.413742162058,-45,268.355006694752,-45,-1.2,-0.01,-0.7,380
1.07,261.83788529524,-45,266.907103712221,-45,-1.2,-0.01,-0.7,380
1.08,261.220511829157,-45,265.053466088778,-45,-1.2,-0.01,-0.7,380
1.09,260.718113780534,-45,263.159591395254,-45,-1.2,-0.01,-0.7,380
1.1,260.331531522682,-45,261.233850527347,-45,-1.2,-0.01,-0.7,380
1.11,260.061288791989,-45,259.285450229617,-45,-1.2,-0.01,-0.7,380
1.12,259.907669723672,-45,257.324445767988,-45,-1.2,-0.01,-0.7,380
1.121,259.898727486377,-23.2596873574548,257.127982002748,-45,-1.2,-0.01,-0.7,380
1.126,259.871522239909,-23.2596873574548,256.146078599759,-45,-1.2,-0.01,-0.7,380
1.13,259.870722885623,-23.2596873574548,255.361054385223,-45,-1.2,-0.01,-0.7,380
1.14,259.949518310281,-23.2596873574548,253.405728480751,-45,-1.2,-0.01,-0.7,380
1.15,260.141512125825,-23.2596873574548,251.469036903028,-45,-1.2,-0.01,-0.7,380
1.16,260.442961513509,-23.2596873574548,249.561470070357,-45,-1.2,-0.01,-0.7,380
1.17,260.849365764658,-23.2596873574548,247.6934153174,-45,-1.2,-0.01,-0.7,380
1.18,261.355826761352,25.6184977074837,245.87517310324,-24.5559016060973,-1.2,-0.01,-0.7,380
1.19,261.957102250406,25.6184977074837,244.120893344379,-24.5559016060973,-1.2,-0.01,-0.7,380
1.2,262.645379309254,25.6184977074837,242.435245201757,-24.5559016060973,-1.2,-0.01,-0.7,380
1.21,263.408729375782,25.6184977074837,240.811216765217,-24.5559016060973,-1.2,-0.01,-0.7,380
1.22,264.232250870222,25.6184977074837,239.24602023702,-24.5559016060973,-1.2,-0.01,-0.7,380
1.23,265.099384649658,25.6184977074837,237.739007653261,-24.5559016060973,-1.2,-0.01,-0.7,380
1.239,265.903018055184,45,236.431949184026,-45,-1.2,-0.01,-0.7,380
1.24,265.993109015499,45,236.28959762368,-45,-1.2,-0.01,-0.7,380
1.245,266.444728732196,45,235.586617423995,-45,-1.2,-0.01,-0.7,380
1.25,266.896752099793,45,234.89831526994,-45,-1.2,-0.01,-0.7,380
1.26,267.793451625957,45,233.568431176854,-45,-1.2,-0.01,-0.7,380
1.27,268.666167280129,45,232.306727424637,-45,-1.2,-0.01,-0.7,380
1.28,269.498663603661,45,231.121636893886,-45,-1.2,-0.01,-0.7,380
1.29,270.276208218675,45,230.021483385528,-45,-1.2,-0.01,-0.7,380
1.298,270.849966938828,45,229.20740737061,-45,-1.2,-0.01,-0.7,380
1.3,270.985936063645,45,229.013412496208,-45,-1.2,-0.01,-0.7,380
1.31,271.616952953944,45,228.102880532482,-45,-1.2,-0.01,-0.7,380
1.32,272.160262170388,45,227.293792418061,-45,-1.2,-0.01,-0.7,380
1.33,272.608587939511,45,226.588840107995,-45,-1.2,-0.01,-0.7,380
1.34,272.956153014475,45,225.989827008818,-45,-1.2,-0.01,-0.7,380
