time_s,nonlinear,linearized
0,15.7835136405864,15.7835136405864
0.01,-9.26420570430237,-9.39512149514417
0.02,3.45531414452785,3.60627114898012
0.03,7.34378275696675,7.56208088451413
0.04,-32.7880351256294,-33.33621731089
0.05,-4.39828035004003,-3.81468266988663
0.06,-5.390275873376,-7.14969009663251
0.07,-45,-45
0.08,-10.6206630107984,-12.8092928082085
0.09,-21.1806082374521,-24.7714473790705
0.1,-45,-45
0.11,-16.8030263031824,-26.3719881098327
0.12,-36.6198605944111,-39.247365066039
0.13,-45,-45
0.14,-24.3972049611343,-37.015665481689
0.15,-45,-45
0.16,-45,-45
0.17,-33.4289805605773,-19.2079788217396
0.18,-45,-45
0.19,-44.4581037809706,-37.1644766684606
0.2,-35.2636494986402,17.7415098643692
0.21,-45,-45
0.22,-45,45
0.23,-38.1427289761658,45
0.24,-45,-8.93416597983487
0.25,-45,45
0.26,-41.2922762467577,45
0.27,-45,35.0680950522113
0.28,-45,45
0.29,-44.6742390951389,40.0976872138537
0.3,-45,45
0.31,-45,45
0.32,-45,35.0366321541415
0.33,-45,45
0.34,-45,45
0.35,-45,29.8496957664695
0.36,-45,45
0.37,-45,45
0.38,-45,25.7022284770675
0.39,-45,45
0.4,-45,45
0.41,-45,22.4631164118665
0.42,-45,45
0.43,-45,45
0.44,-45,19.1425592651416
0.45,-45,45
0.46,-45,45
0.47,-45,16.4610898077024
0.48,-45,45
0.49,-45,45
0.5,-45,15.4707386404641
0.51,-45,45
0.52,-45,45
0.53,-45,45
0.54,-45,45
0.55,-45,45
0.56,-45,44.5083847188604
0.57,-45,45
0.58,-40.9814578559445,45
0.59,-36.7333590238205,-41.0900594647412
0.6,-32.454241977811,29.4932033232517
0.61,-28.139326061672,-17.6406220100581
0.62,-23.7828974758834,-45
0.63,-19.3780944726011,-17.524541770423
0.64,-14.916953289586,-45
0.65,-10.3907434949397,-45
0.66,-5.79036419756921,-39.4724477864287
0.67,-1.10656037641441,-45
0.68,3.67014555317151,-45
0.69,8.54977674664853,-45
0.7,13.5433651040428,-45
0.71,18.6633739246494,-45
0.72,23.923841612357,-45
0.73,29.3399963667836,-45
0.74,34.9271754707323,-45
0.75,40.6991017569321,-45
0.76,45,-45
0.77,45,-45
0.78,45,-45
0.79,45,-45
0.8,45,-45
0.81,45,-45
0.82,45,-45
0.83,45,-45
