test_no,num,den,mse_1,mse_2,mse_3,mse_4,mse_5,mse_6,mse_7,mse_8,mse_9,mse_10,mse_11,mse_12,mse_13,mse_14,avg_mse,median_mse,worst_mse
test_0,534.415036,"[1, 37.084598037052665, 549.4238293240385]",6.074515,4.43396,5.592342,6.301392,7.503718,6.603145,7.233655,6.260078,7.117298,3.160122,3.883075,7.473154,6.91324,5.004489,5.968155928571428,6.280735,7.503718
test_1,566.561533,"[1, 38.701998280009946, 590.5143078010082]",5.993847,3.895839,4.825626,7.322773,6.971764,5.844407,7.107483,5.297347,6.753375,2.443648,3.421655,8.051787,7.222371,4.529585,5.691536214285714,5.919127,8.051787
test_2,566.561533,"[1, 38.701998280009946, 590.5143078010082]",5.993847,3.895839,4.825626,7.322773,6.971764,5.844407,7.107483,5.297347,6.753375,2.443648,3.421655,8.051787,7.222371,4.529585,5.691536214285714,5.919127,8.051787
test_3,569.319469,"[1, 38.51425178389035, 593.461296669913]",6.018626,3.806509,4.657956,7.519005,7.037754,5.716348,7.185686,5.181051,6.842551,2.361683,3.335682,8.2001,7.288151,4.410008,5.682936428571429,5.867487000000001,8.2001
test_4,569.623354,"[1, 38.53635650251253, 593.7308494886121]",6.016984,3.805665,4.656727,7.515053,7.039872,5.714831,7.185229,5.180576,6.842995,2.362428,3.334988,8.197344,7.284776,4.408377,5.681846071428572,5.8659075000000005,8.197344
test_5,1172.959428,"[1, 58.01602936168701, 1222.141743557951]",10.059471,6.272302,1.430226,23.195196,17.616244,1.579262,16.737325,1.252833,17.640885,1.676279,0.672468,21.243806,13.565067,1.814794,9.625439857142855,8.1658865,23.195196
test_6,1172.990484,"[1, 58.017539136460854, 1222.1707092884067]",10.059451,6.272342,1.430196,23.195147,17.616399,1.579223,16.73738,1.252844,17.640978,1.67633,0.672451,21.243778,13.565001,1.814761,9.62544864285714,8.165896499999999,23.195147
test_7,1172.990484,"[1, 58.017539136460854, 1222.1707092884067]",10.059451,6.272342,1.430196,23.195147,17.616399,1.579223,16.73738,1.252844,17.640978,1.67633,0.672451,21.243778,13.565001,1.814761,9.62544864285714,8.165896499999999,23.195147
test_8,1172.990484,"[1, 58.017539136460854, 1222.1707092884067]",10.059451,6.272342,1.430196,23.195147,17.616399,1.579223,16.73738,1.252844,17.640978,1.67633,0.672451,21.243778,13.565001,1.814761,9.62544864285714,8.165896499999999,23.195147
test_9,1172.990484,"[1, 58.017539136460854, 1222.1707092884067]",10.059451,6.272342,1.430196,23.195147,17.616399,1.579223,16.73738,1.252844,17.640978,1.67633,0.672451,21.243778,13.565001,1.814761,9.62544864285714,8.165896499999999,23.195147
