,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_6,mse_1_7,mse_1_8,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_4,mse_2_5,mse_2_6,mse_2_7,mse_2_8,avg_mse
test_1_0,418.063,"[1, 31.499613987166562, 418.45026272828744]",8.786,3.643,8.759,4.087,3.342,6.069,6.319,10.807,3.796,17.036,19.214,18.937,7.800,40.589,40.714,48.938,37.253,3.550,16.091
test_1_1,422.482,"[1, 31.65053128552153, 422.87453690838197]",8.850,3.616,8.693,4.067,3.326,6.039,6.286,10.868,3.754,17.319,19.454,19.196,7.791,41.148,41.270,49.529,37.716,3.531,16.247
test_1_2,427.755,"[1, 31.87491583845969, 428.14828611745804]",8.906,3.585,8.621,4.039,3.309,6.006,6.250,10.924,3.708,17.587,19.680,19.444,7.778,41.673,41.797,50.083,38.154,3.506,16.392
test_1_3,427.755,"[1, 31.87491583845969, 428.14828611745804]",8.906,3.585,8.621,4.039,3.309,6.006,6.250,10.924,3.708,17.587,19.680,19.444,7.778,41.673,41.797,50.083,38.154,3.506,16.392
test_1_4,428.448,"[1, 31.992583794962506, 428.830513767865]",8.866,3.578,8.624,4.023,3.308,6.003,6.246,10.896,3.708,17.486,19.594,19.359,7.766,41.470,41.608,49.869,37.992,3.499,16.327
test_1_5,211.311,"[1, 22.364367815976628, 217.46232754190558]",10.897,7.696,12.805,7.437,4.325,8.942,9.097,8.457,7.147,8.105,9.050,9.483,12.634,14.792,15.865,19.393,15.992,6.300,10.468
test_1_6,208.334,"[1, 22.284860896361543, 214.35808602312915]",11.238,7.930,13.010,7.609,4.407,9.162,9.302,8.532,7.309,8.182,8.972,9.557,13.057,14.411,15.558,18.996,15.762,6.473,10.526
test_1_7,209.627,"[1, 22.305318470982062, 215.69213386274825]",11.086,7.825,12.920,7.535,4.371,9.065,9.212,8.503,7.236,8.153,9.015,9.531,12.864,14.608,15.716,19.202,15.884,6.396,10.507
test_1_8,205.695,"[1, 22.131494921165988, 211.6449819686509]",11.494,8.101,13.156,7.755,4.464,9.318,9.446,8.593,7.425,8.270,8.947,9.631,13.347,14.241,15.412,18.793,15.660,6.603,10.592
test_1_9,211.357,"[1, 22.348391773494054, 217.4747308138994]",10.898,7.694,12.808,7.439,4.327,8.944,9.100,8.468,7.145,8.118,9.067,9.500,12.628,14.846,15.909,19.455,16.034,6.300,10.482
test_1_10,120.231,"[1, 16.867318028241655, 124.2174253423789]",29.561,18.119,20.588,15.851,7.595,18.302,17.900,13.600,13.798,21.301,13.674,20.396,32.630,16.921,20.153,21.342,20.597,14.022,18.686
test_1_11,122.304,"[1, 17.03404711694961, 125.05722683444932]",30.077,18.403,21.129,15.994,7.896,18.889,18.460,14.180,14.067,21.620,14.069,21.160,33.349,17.559,20.765,22.700,21.528,14.307,19.231
test_1_12,123.449,"[1, 17.152487441924922, 127.5329344301394]",28.396,17.542,20.178,15.370,7.414,17.776,17.400,13.243,13.441,20.260,13.172,19.549,31.452,16.203,19.346,20.595,19.871,13.594,18.045
test_1_13,123.268,"[1, 17.152123991306336, 127.3430096203835]",28.491,17.591,20.209,15.400,7.430,17.820,17.444,13.273,13.472,20.342,13.217,19.623,31.559,16.239,19.401,20.653,19.928,13.629,18.096
test_1_14,121.568,"[1, 16.979718382738227, 124.3051139907143]",30.369,18.549,21.229,16.107,7.942,19.022,18.587,14.269,14.157,21.881,14.201,21.377,33.654,17.726,20.963,22.890,21.712,14.414,19.392
test_1_15,57.584,"[1, 11.628395631379037, 59.798399265221754]",80.918,42.078,34.588,31.794,14.916,39.869,39.306,30.638,28.573,72.333,47.313,65.522,87.317,62.621,70.601,76.967,69.907,31.548,51.489
test_1_16,58.193,"[1, 11.68945804432093, 60.43211104726252]",79.961,41.621,34.357,31.539,14.777,39.471,38.892,30.283,28.292,71.347,46.523,64.553,86.250,61.583,69.493,75.651,68.740,31.214,50.808
test_1_17,58.237,"[1, 11.693898052423707, 60.47415635463389]",79.903,41.594,34.346,31.524,14.770,39.449,38.869,30.264,28.277,71.286,46.476,64.497,86.187,61.520,69.425,75.575,68.672,31.195,50.768
test_1_18,57.732,"[1, 11.64925896459809, 59.9528463687896]",80.695,41.981,34.533,31.734,14.886,39.781,39.217,30.563,28.512,72.106,47.153,65.320,87.084,62.380,70.347,76.681,69.661,31.478,51.340
test_1_19,57.517,"[1, 11.62182139547601, 59.72660654544402]",81.030,42.133,34.616,31.824,14.933,39.917,39.355,30.681,28.606,72.447,47.407,65.637,87.444,62.742,70.731,77.123,70.045,31.588,51.570
