,Angles,PWM,Angles_1
0,0.6,24,0
1,1.8,24,0.6
2,3.6,24,1.8
3,6.0,24,3.6
4,7.2,24,6.0
5,9.6,24,7.2
6,11.4,24,9.6
7,13.8,24,11.4
8,15.6,24,13.8
9,18.0,24,15.6
10,19.2,24,18.0
11,20.4,24,19.2
12,21.0,24,20.4
13,21.0,24,21.0
14,21.0,24,21.0
15,21.0,24,21.0
16,21.0,24,21.0
17,21.0,24,21.0
18,21.6,24,21.0
19,21.6,24,21.6
20,21.6,24,21.6
21,21.6,24,21.6
22,21.6,24,21.6
23,21.6,24,21.6
24,21.6,24,21.6
25,21.6,24,21.6
26,21.6,24,21.6
27,21.6,24,21.6
28,21.6,24,21.6
29,21.6,24,21.6
30,21.6,24,21.6
31,21.6,24,21.6
32,21.6,24,21.6
33,21.6,24,21.6
34,21.6,24,21.6
35,21.6,24,21.6
36,21.6,24,21.6
37,21.6,24,21.6
38,21.6,24,21.6
39,21.6,24,21.6
40,21.6,24,21.6
41,21.6,24,21.6
42,21.6,24,21.6
43,21.6,24,21.6
44,21.6,24,21.6
45,21.6,24,21.6
46,21.6,24,21.6
47,21.6,24,21.6
48,21.6,24,21.6
49,21.6,24,21.6
50,21.6,24,21.6
51,21.6,24,21.6
52,21.6,24,21.6
53,21.6,24,21.6
54,21.6,24,21.6
55,21.6,24,21.6
56,21.6,24,21.6
57,21.6,24,21.6
58,21.6,24,21.6
59,21.6,24,21.6
60,21.6,24,21.6
61,21.6,24,21.6
62,21.6,24,21.6
63,21.6,24,21.6
64,21.6,24,21.6
65,21.6,24,21.6
66,21.6,24,21.6
67,21.6,24,21.6
68,21.6,24,21.6
69,21.6,24,21.6
70,21.6,24,21.6
71,21.6,24,21.6
72,21.6,24,21.6
73,21.6,24,21.6
74,21.6,24,21.6
75,21.6,24,21.6
76,21.6,24,21.6
77,21.6,24,21.6
78,21.6,24,21.6
79,21.6,24,21.6
80,21.6,24,21.6
81,21.6,24,21.6
82,21.6,24,21.6
83,21.6,24,21.6
84,21.6,24,21.6
85,21.6,24,21.6
86,21.6,24,21.6
87,21.6,24,21.6
88,21.6,24,21.6
89,21.6,24,21.6
90,21.6,24,21.6
91,21.6,24,21.6
92,21.6,24,21.6
93,21.6,24,21.6
94,21.6,-1,21.6
95,19.8,-1,21.6
96,18.6,-1,19.8
97,16.2,-1,18.6
98,15.0,-1,16.2
99,12.6,-1,15.0
100,10.8,-1,12.6
101,7.8,-1,10.8
102,6.0,-1,7.8
103,4.2,-1,6.0
104,2.4,-1,4.2
105,1.2,-1,2.4
106,0.0,-1,1.2
107,0.0,-1,0.0
108,0.0,-1,0.0
109,0.0,-1,0.0
110,0.0,-1,0.0
111,0.0,-1,0.0
112,0.0,-25,0.0
113,0.0,-25,0.0
114,-1.2,-25,0.0
115,-2.4,-25,-1.2
116,-3.6,-25,-2.4
117,-5.4,-25,-3.6
118,-7.2,-25,-5.4
119,-9.0,-25,-7.2
120,-10.8,-25,-9.0
121,-13.2,-25,-10.8
122,-15.0,-25,-13.2
123,-16.8,-25,-15.0
124,-18.6,-25,-16.8
125,-20.4,-25,-18.6
126,-21.6,-25,-20.4
127,-22.2,-25,-21.6
128,-22.2,-25,-22.2
129,-22.2,-25,-22.2
130,-22.2,-25,-22.2
131,-22.2,-25,-22.2
132,-22.2,-25,-22.2
133,-22.2,-25,-22.2
134,-22.2,-25,-22.2
135,-22.2,-25,-22.2
136,-22.2,-25,-22.2
137,-22.2,-25,-22.2
138,-22.2,-25,-22.2
139,-22.2,-25,-22.2
140,-22.2,-25,-22.2
141,-22.2,-25,-22.2
142,-21.0,-15,-22.2
143,-19.2,-15,-21.0
144,-17.4,-15,-19.2
145,-16.2,-15,-17.4
146,-15.0,-15,-16.2
147,-13.8,-15,-15.0
148,-13.8,-15,-13.8
149,-13.2,-15,-13.8
150,-13.2,-15,-13.2
151,-13.2,-15,-13.2
152,-13.2,-15,-13.2
153,-13.2,-15,-13.2
154,-13.2,-15,-13.2
155,-13.2,-15,-13.2
156,-13.2,-15,-13.2
157,-13.2,-15,-13.2
158,-13.2,-15,-13.2
159,-13.2,-15,-13.2
160,-13.2,-15,-13.2
161,-13.2,-15,-13.2
162,-12.6,-15,-13.2
163,-12.6,-15,-12.6
164,-12.6,-15,-12.6
165,-12.6,-15,-12.6
166,-12.6,-15,-12.6
167,-12.6,-15,-12.6
168,-12.6,-15,-12.6
169,-12.6,-15,-12.6
170,-12.6,-15,-12.6
171,-12.6,-15,-12.6
172,-12.6,-15,-12.6
173,-12.6,-15,-12.6
174,-12.6,-15,-12.6
175,-12.6,-15,-12.6
176,-12.6,-15,-12.6
177,-12.6,-15,-12.6
178,-12.6,-15,-12.6
179,-12.6,-15,-12.6
180,-12.6,-15,-12.6
181,-12.6,-15,-12.6
182,-12.6,-15,-12.6
183,-12.6,-15,-12.6
184,-12.6,-15,-12.6
185,-12.6,-15,-12.6
186,-12.6,-15,-12.6
187,-12.6,-15,-12.6
188,-12.6,-15,-12.6
189,-12.6,-15,-12.6
190,-12.6,-15,-12.6
191,-12.6,-15,-12.6
192,-12.6,-15,-12.6
193,-12.6,-15,-12.6
194,-12.6,-15,-12.6
195,-12.6,-15,-12.6
196,-12.6,-15,-12.6
197,-12.6,-15,-12.6
198,-12.6,-15,-12.6
199,-12.6,-15,-12.6
200,-12.6,-15,-12.6
201,-12.6,-15,-12.6
202,-12.6,-15,-12.6
203,-12.6,-15,-12.6
204,-12.6,-15,-12.6
205,-12.6,-15,-12.6
206,-12.6,-15,-12.6
207,-12.6,-15,-12.6
208,-12.6,-15,-12.6
209,-12.6,-15,-12.6
210,-12.6,-15,-12.6
211,-12.6,-15,-12.6
212,-12.6,-15,-12.6
213,-12.6,-15,-12.6
214,-12.6,-15,-12.6
215,-12.6,-15,-12.6
216,-12.6,-15,-12.6
217,-12.6,-15,-12.6
218,-11.4,-8,-12.6
219,-10.8,-8,-11.4
220,-10.2,-8,-10.8
221,-9.6,-8,-10.2
222,-9.0,-8,-9.6
223,-8.4,-8,-9.0
224,-7.8,-8,-8.4
225,-7.2,-8,-7.8
226,-7.2,-8,-7.2
227,-7.2,-8,-7.2
228,-6.6,-8,-7.2
229,-6.6,-8,-6.6
230,-6.6,-8,-6.6
231,-6.6,-8,-6.6
232,-6.6,-8,-6.6
233,-6.6,-8,-6.6
234,-6.6,-8,-6.6
235,-6.6,-8,-6.6
236,-6.6,-8,-6.6
237,-6.6,-8,-6.6
238,-6.6,-8,-6.6
239,-6.6,-8,-6.6
240,-6.6,-8,-6.6
241,-6.6,-8,-6.6
242,-6.6,-8,-6.6
243,-6.6,-8,-6.6
244,-6.6,-8,-6.6
245,-6.6,-8,-6.6
246,-6.6,-8,-6.6
247,-6.6,-8,-6.6
248,-6.6,-8,-6.6
249,-6.6,-8,-6.6
250,-6.6,-8,-6.6
251,-6.6,-8,-6.6
252,-6.6,-8,-6.6
253,-6.6,-8,-6.6
254,-6.6,-8,-6.6
255,-6.6,-8,-6.6
256,-6.6,-8,-6.6
257,-6.6,-8,-6.6
258,-6.6,-8,-6.6
259,-6.6,-8,-6.6
260,-6.6,-8,-6.6
261,-6.6,-8,-6.6
262,-6.6,-8,-6.6
263,-6.6,-8,-6.6
264,-6.6,-8,-6.6
265,-6.6,-8,-6.6
266,-6.6,-8,-6.6
267,-6.6,-8,-6.6
268,-6.6,-8,-6.6
269,-6.6,-8,-6.6
270,-6.6,-8,-6.6
271,-6.6,-8,-6.6
272,-6.6,-8,-6.6
273,-6.6,-8,-6.6
274,-6.6,-8,-6.6
275,-6.6,-8,-6.6
276,-6.6,-8,-6.6
