,Angles,PWM,Angles_1
0,-0.6,-18,0
1,-1.8,-18,-0.6
2,-3.6,-18,-1.8
3,-5.4,-18,-3.6
4,-7.2,-18,-5.4
5,-9.6,-18,-7.2
6,-10.8,-18,-9.6
7,-12.6,-18,-10.8
8,-14.4,-18,-12.6
9,-15.6,-18,-14.4
10,-15.6,-18,-15.6
11,-16.2,-18,-15.6
12,-16.2,-18,-16.2
13,-16.2,-18,-16.2
14,-16.2,-18,-16.2
15,-16.2,-18,-16.2
16,-16.2,-18,-16.2
17,-16.8,-18,-16.2
18,-16.8,-18,-16.8
19,-16.8,-18,-16.8
20,-16.8,-18,-16.8
21,-16.8,-18,-16.8
22,-16.8,-18,-16.8
23,-16.8,-18,-16.8
24,-16.8,-18,-16.8
25,-16.8,-18,-16.8
26,-16.8,-18,-16.8
27,-16.8,-18,-16.8
28,-16.8,-18,-16.8
29,-16.8,-18,-16.8
30,-16.8,-18,-16.8
31,-16.8,-18,-16.8
32,-16.8,-18,-16.8
33,-16.8,-18,-16.8
34,-16.8,-18,-16.8
35,-16.8,-18,-16.8
36,-16.8,-18,-16.8
37,-16.8,-18,-16.8
38,-16.8,-18,-16.8
39,-16.8,-18,-16.8
40,-16.8,-18,-16.8
41,-16.8,-18,-16.8
42,-16.8,-18,-16.8
43,-16.8,-18,-16.8
44,-16.8,-18,-16.8
45,-16.8,-18,-16.8
46,-16.8,-18,-16.8
47,-16.8,-18,-16.8
48,-16.8,-18,-16.8
49,-16.8,-18,-16.8
50,-16.8,-18,-16.8
51,-16.8,-18,-16.8
52,-16.8,-18,-16.8
53,-16.8,-18,-16.8
54,-16.8,-18,-16.8
55,-16.8,-18,-16.8
56,-16.8,-18,-16.8
57,-16.8,-18,-16.8
58,-16.8,-18,-16.8
59,-16.8,-18,-16.8
60,-16.8,-18,-16.8
61,-16.8,-18,-16.8
62,-16.8,-18,-16.8
63,-16.8,-18,-16.8
64,-16.8,-18,-16.8
65,-16.8,-18,-16.8
66,-16.8,-18,-16.8
67,-16.8,-18,-16.8
68,-16.8,-18,-16.8
69,-16.8,-18,-16.8
70,-16.8,-18,-16.8
71,-16.8,-18,-16.8
72,-16.8,-18,-16.8
73,-16.2,-3,-16.8
74,-15.0,-3,-16.2
75,-12.6,-3,-15.0
76,-10.8,-3,-12.6
77,-8.4,-3,-10.8
78,-7.2,-3,-8.4
79,-5.4,-3,-7.2
80,-4.8,-3,-5.4
81,-4.2,-3,-4.8
82,-3.6,-3,-4.2
83,-3.6,-3,-3.6
84,-3.6,-3,-3.6
85,-3.6,-3,-3.6
86,-3.6,-3,-3.6
87,-3.0,-3,-3.6
88,-3.0,-3,-3.0
89,-3.0,-3,-3.0
90,-3.0,-3,-3.0
91,-3.0,-3,-3.0
92,-3.0,-3,-3.0
93,-3.0,-3,-3.0
94,-3.0,-3,-3.0
95,-3.0,-3,-3.0
96,-3.0,-3,-3.0
97,-3.0,-3,-3.0
98,-3.0,-3,-3.0
99,-3.0,-3,-3.0
100,-3.0,-3,-3.0
101,-3.0,-3,-3.0
102,-3.0,-3,-3.0
103,-3.0,-3,-3.0
104,-3.0,-3,-3.0
105,-3.0,-3,-3.0
106,-3.0,-3,-3.0
107,-3.0,-3,-3.0
108,-3.0,-3,-3.0
109,-3.0,-3,-3.0
110,-3.0,-3,-3.0
111,-3.0,-3,-3.0
112,-3.0,-3,-3.0
113,-3.0,-3,-3.0
114,-3.0,-3,-3.0
115,-3.0,-3,-3.0
116,-3.0,-3,-3.0
117,-3.0,-3,-3.0
118,-3.0,-3,-3.0
119,-3.0,-3,-3.0
120,-3.0,-3,-3.0
121,-3.0,-3,-3.0
122,-3.0,-3,-3.0
123,-3.0,-3,-3.0
124,-3.0,-3,-3.0
125,-3.0,-3,-3.0
126,-3.0,-3,-3.0
127,-3.0,-3,-3.0
128,-3.0,-3,-3.0
129,-3.0,-3,-3.0
130,-3.0,-3,-3.0
131,-3.0,-3,-3.0
132,-3.0,-3,-3.0
133,-3.0,-3,-3.0
134,-3.0,-3,-3.0
135,-3.0,-3,-3.0
136,-3.0,-3,-3.0
137,-3.0,-3,-3.0
138,-3.0,-3,-3.0
139,-3.0,-3,-3.0
140,-3.0,-3,-3.0
141,-3.0,-3,-3.0
142,-3.0,-3,-3.0
143,-3.0,-3,-3.0
144,-3.0,-3,-3.0
145,-3.0,-3,-3.0
146,-3.0,-3,-3.0
147,-3.0,-3,-3.0
148,-3.0,-3,-3.0
149,-3.0,-3,-3.0
150,-3.0,-3,-3.0
151,-3.0,-3,-3.0
152,-3.0,-3,-3.0
153,-3.0,-3,-3.0
154,-3.0,-3,-3.0
155,-3.0,-3,-3.0
156,-3.0,-3,-3.0
157,-3.0,-3,-3.0
158,-3.0,-3,-3.0
159,-3.0,-3,-3.0
160,-3.0,-3,-3.0
161,-3.0,-3,-3.0
162,-3.0,-3,-3.0
163,-3.0,-3,-3.0
164,-3.0,-23,-3.0
165,-4.2,-23,-3.0
166,-6.0,-23,-4.2
167,-7.8,-23,-6.0
